USA,China,Japan,India,Brazil,Canada,Mexico,South Korea,Germany,UK,Australia,Switzerland,Hong Kong,Singapore,Taiwan,Italy,Spain,Date
55.913326263427734,18.66994857788086,25.928985595703125,24.472414016723633,22.51272964477539,24.066741943359375,50.79922866821289,34.02858352661133,24.681621551513672,19.820880889892578,25.258607864379883,26.76637077331543,37.46197509765625,52.90681457519531,32.97924041748047,31.57082748413086,55.042110443115234,2019-07-24 00:00:00+00:00
55.51840591430664,18.60447120666504,25.677942276000977,24.085908889770508,22.246559143066406,23.79315757751465,50.25685119628906,33.54777526855469,24.476299285888672,19.732860565185547,25.132211685180664,26.53289222717285,37.28324508666992,52.183448791503906,32.369049072265625,31.384180068969727,54.730926513671875,2019-07-25 00:00:00+00:00
55.86740493774414,18.563547134399414,25.731740951538086,24.191322326660156,22.14352798461914,23.707664489746094,50.385555267333984,33.829002380371094,24.31374740600586,19.67684555053711,25.139230728149414,26.716339111328125,37.07770538330078,52.3116340637207,32.620296478271484,31.654815673828125,54.840755462646484,2019-07-26 00:00:00+00:00
55.66535186767578,18.653581619262695,25.68691062927246,24.235239028930664,21.868770599365234,23.63071632385254,50.32120895385742,34.01951217651367,24.356525421142578,19.69285011291504,25.230518341064453,26.799724578857422,37.685386657714844,51.67067337036133,32.65619659423828,31.41217613220215,54.51127624511719,2019-07-29 00:00:00+00:00
55.60106658935547,18.489879608154297,25.624147415161133,23.699411392211914,21.697052001953125,23.18614387512207,49.99945831298828,33.72013473510742,23.672115325927734,19.612831115722656,24.95665740966797,26.499542236328125,37.399417877197266,51.57910919189453,32.42646789550781,30.861581802368164,54.09942626953125,2019-07-30 00:00:00+00:00
55.206146240234375,18.34255027770996,25.45380210876465,23.558868408203125,21.336437225341797,23.109203338623047,49.96268081665039,33.72013473510742,23.4753475189209,19.340763092041016,24.767057418823242,26.299421310424805,36.881107330322266,50.727542877197266,31.94548797607422,30.79625701904297,53.513675689697266,2019-07-31 00:00:00+00:00
54.44386291503906,18.244333267211914,25.31931495666504,23.541296005249023,20.778337478637695,23.023706436157227,49.9534912109375,33.81085968017578,23.364124298095703,19.108707427978516,24.31062126159668,25.99089813232422,36.41639709472656,50.07742691040039,31.679882049560547,30.310977935791016,51.85710144042969,2019-08-01 00:00:00+00:00
53.947906494140625,18.17066764831543,25.157928466796875,23.295345306396484,20.67530632019043,22.93821144104004,49.69609832763672,33.79271697998047,23.338462829589844,19.004682540893555,23.952491760253906,25.607328414916992,35.951698303222656,49.21670913696289,31.52912139892578,30.25498390197754,51.25304412841797,2019-08-02 00:00:00+00:00
52.340675354003906,17.507680892944336,24.691709518432617,22.82100486755371,19.66214370727539,22.656076431274414,48.464271545410156,33.06696701049805,23.08180809020996,18.40453338623047,23.22921371459961,24.915237426757812,34.995487213134766,47.11069107055664,30.251306533813477,29.256439208984375,48.946659088134766,2019-08-05 00:00:00+00:00
52.98357391357422,17.384910583496094,24.781368255615234,22.882492065429688,19.919729232788086,22.698823928833008,49.08018112182617,33.10325241088867,23.21013641357422,18.58057403564453,23.776939392089844,24.981945037841797,35.37082290649414,47.458641052246094,30.818424224853516,29.78837776184082,49.57817077636719,2019-08-06 00:00:00+00:00
53.13969039916992,17.393091201782227,24.951717376708984,23.031822204589844,20.05710792541504,22.62187957763672,49.420310974121094,33.320980072021484,23.31279754638672,18.692602157592773,23.868228912353516,25.065326690673828,35.86233901977539,47.531890869140625,31.005077362060547,29.601730346679688,50.01748275756836,2019-08-07 00:00:00+00:00
54.08566665649414,17.68775177001953,25.29241371154785,23.198719024658203,20.306102752685547,22.502187728881836,49.76963806152344,33.838069915771484,23.355573654174805,18.668596267700195,24.163156509399414,25.307144165039062,36.24660110473633,47.91646957397461,31.78038215637207,30.450965881347656,50.685604095458984,2019-08-08 00:00:00+00:00
53.626461029052734,17.589534759521484,25.25655174255371,23.07574462890625,19.94548988342285,22.16876220703125,49.24565124511719,33.92879867553711,23.26146697998047,18.524564743041992,23.945470809936523,25.090343475341797,36.20192337036133,47.742496490478516,31.579381942749023,30.198991775512695,49.980865478515625,2019-08-09 00:00:00+00:00
52.864173889160156,17.450387954711914,25.023441314697266,22.84735870361328,19.318706512451172,22.117464065551758,48.776817321777344,33.81993103027344,22.944927215576172,18.324512481689453,23.790983200073242,24.915237426757812,35.290401458740234,47.20225143432617,30.574350357055664,30.021682739257812,49.459190368652344,2019-08-12 00:00:00+00:00
53.5162467956543,17.6795654296875,25.25655174255371,23.066959381103516,19.46466827392578,22.408145904541016,49.32838821411133,33.974151611328125,23.04758644104004,18.73261070251465,24.177200317382812,25.09868621826172,35.39763641357422,48.017189025878906,31.184545516967773,29.89103126525879,50.475093841552734,2019-08-13 00:00:00+00:00
51.93656921386719,17.26213264465332,24.584121704101562,22.320314407348633,19.00101661682129,21.604496002197266,48.133331298828125,33.23025894165039,22.337512969970703,18.140466690063477,23.51009750366211,24.514989852905273,34.16438674926758,46.86346435546875,29.684186935424805,29.48974609375,49.02903366088867,2019-08-14 00:00:00+00:00
51.97330856323242,17.196657180786133,24.53032684326172,22.179767608642578,19.481840133666992,21.630146026611328,48.59296798706055,33.17582702636719,22.40595054626465,18.188480377197266,23.67160415649414,24.606714248657227,34.34312438964844,47.11984634399414,29.691360473632812,29.555070877075195,49.724605560302734,2019-08-15 00:00:00+00:00
52.74479293823242,17.37672233581543,24.85309410095215,22.48720932006836,19.96265983581543,21.937923431396484,49.098567962646484,33.529632568359375,22.76526641845703,18.3325138092041,24.03675651550293,24.848529815673828,34.95974349975586,47.79743576049805,29.899545669555664,30.0310115814209,50.676448822021484,2019-08-16 00:00:00+00:00
53.3141975402832,17.442201614379883,25.00551414489746,22.698028564453125,20.486413955688477,22.262805938720703,49.08937454223633,33.72921371459961,22.782377243041992,18.308507919311523,24.135066986083984,25.023637771606445,34.691646575927734,47.724178314208984,29.253461837768555,29.807037353515625,51.628292083740234,2019-08-19 00:00:00+00:00
52.928470611572266,17.499500274658203,24.835161209106445,22.583833694458008,20.357622146606445,22.091815948486328,48.98825454711914,33.60220718383789,22.54283332824707,18.34851837158203,24.19124412536621,24.856868743896484,34.9150505065918,48.319358825683594,29.35396385192871,29.760377883911133,51.54592514038086,2019-08-20 00:00:00+00:00
53.40603256225586,17.524051666259766,25.06827163696289,22.935197830200195,20.494998931884766,22.459442138671875,49.15372848510742,33.801788330078125,22.722488403320312,18.36452293395996,24.338706970214844,25.056987762451172,35.504878997802734,48.92369842529297,30.129270553588867,29.620397567749023,51.90285873413086,2019-08-21 00:00:00+00:00
53.3876838684082,17.466758728027344,24.969650268554688,22.856143951416016,20.142967224121094,22.459442138671875,49.08018112182617,33.701995849609375,22.842262268066406,18.308507919311523,24.092937469482422,25.123699188232422,35.14741134643555,47.934783935546875,29.36831283569336,28.939146041870117,51.344566345214844,2019-08-22 00:00:00+00:00
51.85390090942383,17.253948211669922,24.584121704101562,22.566268920898438,19.799524307250977,22.023420333862305,48.52861785888672,33.41169738769531,22.568492889404297,17.948421478271484,23.78396224975586,24.840192794799805,34.8256950378418,47.3121337890625,28.363290786743164,29.545738220214844,50.11815643310547,2019-08-23 00:00:00+00:00
52.39577865600586,17.3685359954834,24.817232131958008,22.768299102783203,19.868209838867188,22.442344665527344,49.23645782470703,33.638492584228516,22.773822784423828,17.99643325805664,23.938446044921875,24.873544692993164,35.1205940246582,47.4128532409668,27.918209075927734,30.01235008239746,50.65814208984375,2019-08-26 00:00:00+00:00
52.11107635498047,17.352169036865234,24.835161209106445,22.794654846191406,19.83386993408203,22.673181533813477,49.08018112182617,33.574989318847656,22.773822784423828,17.972427368164062,23.910358428955078,24.948593139648438,35.32613754272461,47.52273941040039,28.018712997436523,30.189655303955078,50.79542541503906,2019-08-27 00:00:00+00:00
52.55191421508789,17.40127944946289,24.978618621826172,22.741947174072266,19.851041793823242,22.68172836303711,49.061790466308594,33.529632568359375,22.80804443359375,17.908411026000977,24.03675651550293,24.981945037841797,35.56742477416992,47.97140884399414,28.3273983001709,29.89103126525879,50.89610290527344,2019-08-28 00:00:00+00:00
